data;id;produto;detalhes;preco;categoria
2026-08-17;7c644f88-090f-4551-aba1-a87992843a2d;Nutry Tube Whey Cookies 38g;;10.79;Matinais
2026-08-17;2683b062-dd9b-4d53-9cfc-a92de31f2a2d;Barrinha Proteica Salted Caramel Eat Clean 45g;Embalagem 45g;17.27;Matinais
2026-08-17;6438d0f8-46b4-40d1-bd1b-c8e05a8b5d6f;Barra de Cereal Brigadeiro Zero Ritter 75g;Embalagem 75g;10.78;Matinais
2026-08-17;39ef7334-45d7-4ceb-9387-3e0979b0b90a;Barra de Cereal Morango, Aveia com Chocolate 80g Ritter Leve 4un Pague 3un;Embalagem 4un;6.47;Matinais
2026-08-17;207a72c0-e608-46ae-82ca-0c9166e12f70;Barra de Frutas Banana Cobertura Chocolate Nutry Caixa 60g;Embalagem 60g;11.86;Matinais
2026-08-17;64777e8e-0ad4-4f57-9bf9-60f4df2403c2;Barra de Cereal Avelã com Chocolate Nutry 66g;Embalagem 66g;6.47;Matinais
2026-08-17;24376226-5d76-4edc-912c-c3b1b0bebfb4;Barra De Proteina Pinati Cups Cookies And Cream 21G;;9.61;Matinais
2026-08-17;0ce36d66-065a-4202-8ab0-c153015725c5;Barra Double Bar Banana Amendoim Chocolate sem Açucar Pinati 35g;Embalagem 35g;6.47;Matinais
2026-08-17;b7694f98-92c7-4960-b654-2ba0738a3e15;Barra de Cereal Pinati Nuts Coco 120g Embalagem Leve 4un Pague 3un;Embalagem 4un;10.78;Matinais
2026-08-17;e64ae2fe-8b55-4ef8-8748-cf2dd0623f8f;Barra de Cereal Pinati Nuts Banana 120g Embalagem Leve 4un Pague 3un;Embalagem 4un;10.78;Matinais
2026-08-17;94c12c01-74bf-4065-b6e5-e7199f602ec7;Barra Double Bar Brigadeiro, Amendoim e Chocolate Meio Amargo Pinati 35g;Embalagem 35g;6.47;Matinais
2026-08-17;93617c53-742e-41a9-862e-0bd1dc57f16f;Barra de Cereal Frutas Vermelhas Nutry 66g com 3un;Embalagem 66g;6.47;Matinais
2026-08-17;032f5efe-7574-4836-a434-a373284ae66a;Ravioli de Bufala Congelado Spoleto 400g;;30.77;Frios e Laticínios
2026-08-17;3e491987-d006-4437-838c-f9bd776ae171;Ravioli Massa Italiana de Presunto Cru Rana 250g;;48.59;Frios e Laticínios
2026-08-17;23216cc3-0911-4e2c-b86e-65cb95ad0850;Massa Ravioli Quatro Queijos Rana 250g;;48.59;Frios e Laticínios
2026-08-17;0c73dda2-74fc-4650-875d-e50d6cb670e2;Massa Ravioli Recheada com Ricota e Espinafre Rana 250g;;48.59;Frios e Laticínios
2026-08-17;55be9a96-ef73-4ff7-a8a4-7a70bba2be27;Massa Folhada Arosa 400g;Embalagem 400g;31.85;Frios e Laticínios
2026-08-17;2ce2f3b9-3b3d-44c3-9aa9-3a7fc3a8ba46;Talharim Mezzani 500g;Pacote 500g;19.43;Frios e Laticínios
2026-08-17;105a01f7-2162-4549-8f33-6a53c3c4ad6b;Nhoque de Batata Mazza;;9.71;Frios e Laticínios
2026-08-17;6463e19e-cfeb-48cf-b26e-222b540c1e41;Massa Ravioli De Carne Spoleto;;30.77;Frios e Laticínios
2026-08-17;ef71d940-0fa0-4680-9fd6-b3c474940b5c;Ravioli de Carne Mezzani 400g;Embalagem 400g;15.65;Frios e Laticínios
2026-08-17;a943b9d9-70ae-4361-ba6e-dc58c405008d;Massa Macn Cheese Calabresa Sadia 350g;Pacote 350g;12.95;Frios e Laticínios
2026-08-17;f04cf814-c8cf-4f28-bed8-c5acb75b7022;Massa Para Alimento Rap10 Integral 330g;Embalagem 330g;15.65;Frios e Laticínios
2026-08-17;3b10c3a5-eed7-427d-9dc5-ea02254e4767;Ravioli Recheado com Ricota e Berinjela Alla Norma 250g;;53.98;Frios e Laticínios
2026-08-17;7dca06a6-f238-491e-ba7d-2504048243b3;Sal Grosso para Churrasco Ita 1kg;Embalagem 1kg;4.63;Alimentos Básicos
2026-08-17;702a1383-a8af-4140-8e31-ec34e4b89a4f;Sal Grosso Churrasco Cisne 1kg;Pacote 1kg;5.93;Alimentos Básicos
2026-08-17;3382d490-e5f5-4084-8c24-e357eb46b8df;Sal Grosso Tempemar com Ervas Finas 500g;Embalagem 500g;6.47;Alimentos Básicos
