data;cod;produto;preco;preco_lista;marca;disponivel;categoria;vendedor;url
2026-09-01;1389337;Salgadinho Cebola Elma Chips Cebolitos 138g;15.99;15.99;CEBOLITOS;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/1624286/salgadinho-cebola-elma-chips-cebolitos-138g
2026-09-01;1052172;Salada de Frango ATELÍE 250g;20.9;20.9;Atelie;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/314589/salada-de-frango-atelie-250g
2026-09-01;1182841;Linguiça Calabresa Swift 500g;28.9;28.9;SWIFT;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/434957/linguica-calabresa-swift-500g
2026-09-01;0787499;Chocolate GAROTO em Pó 200g;40.99;40.99;GAROTO;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/138035/chocolate-garoto-em-po-200g
2026-09-01;5164714;Goma de Mascar Melancia Zero Açúcar Trident Envelope 8g;3.49;3.49;TRIDENT;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/39942/goma-de-mascar-melancia-zero-acucar-trident-envelope-8g
2026-09-01;1385764;Sorvete Nuts Glaceadas Nutty Bavarian Los Los Pote 490ml;38.9;38.9;Los Los;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/1617727/sorvete-nuts-glaceadas-nutty-bavarian-los-los-pote-490ml
2026-09-01;1376279;Café em Cápsula Torrado e Moído Lungo Dark Nescafé Dolce Gusto Pacote 70g 10 Unidades;27.99;27.99;Nescafé Dolce Gusto;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/1606346/cafe-em-capsula-torrado-e-moido-lungo-dark-nescafe-dolce-gusto-pacote-70g-10-unidades
2026-09-01;1378653;Queijo Gouda Kroon 120g;22.99;22.99;Nacon;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/1614159/queijo-gouda-kroon-120g
2026-09-01;1064416;Café Torrado e Moído Mogiana Café do Centro Gourmet Pacote 250g;36.99;36.99;CAFÉ DO CENTRO;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/313260/cafe-torrado-e-moido-mogiana-cafe-do-centro-gourmet-pacote-250g
2026-09-01;1328122;Achocolatado Em Pó Original Toddy Pote 750g;24.99;24.99;TODDY;True;alimentos;Pão de Açúcar;https://www.paodeacucar.com/produto/807863/achocolatado-em-po-original-toddy-pote-750g
