data;cod;produto;preco;unidade;faot_unid;cod_id;cod_sku;marca
2025-10-02;agua-de-coco-fresca-me-bebe-1l-93149;Água De Coco Fresca Me Bebe 1L;18.99;un;1.0;514;521;Me Bebe
2025-10-02;agua-de-coco-fresca-me-bebe-500ml-93130;Água De Coco Fresca Me Bebe 500ml;11.99;un;1.0;513;520;Me Bebe
2025-10-02;pizza-semipronta-calabresa-panetto-82163;Pizza Semipronta Calabresa Panetto;19.99;un;1.0;2755;2764;PANETTO
2025-10-02;pizza-semipronta-mucarela-panetto-82155;Pizza Semipronta Muçarela Panetto;19.99;un;1.0;2756;2765;PANETTO
2025-10-02;croissant-frances-tradicional-bridor-unidade-60g-68993;Croissant Francês Tradicional Bridor Unidade 60g;8.9;un;1.0;8487;8504;BRIDOR
2025-10-02;biscoito-belga-lotus-biscoff-canela-pacote-124-g-866946;Biscoito Belga Lotus Biscoff Canela Pacote 124g;24.9;un;1.0;12502;12528;LOTUS
2025-10-02;pizza-semipronta-marguerita-panetto-82147;Pizza Semipronta Marguerita Panetto;19.99;un;1.0;21079;21010;PANETTO
2025-10-02;nutella---go-52g-5435307;Nutella & Go 52g;18.9;un;1.0;36838;36765;NUTELLA
2025-10-02;biscoito-amanteigado-barilla-mulino-bianco-galletti-pacote--350g-848557;Biscoito Amanteigado Barilla Mulino Bianco Galletti Pacote  350g;25.65;un;1.0;16551;16442;MULINO BIANCO
2025-10-02;franui-com-chocolate-meio-amargo-150g-1108441;Franuí com Chocolate Meio Amargo 150g;39.99;un;1.0;34180;34107;FRANUI
2025-10-02;franui-ao-leite-150g-1108417;Franuí com Chocolate ao Leite 150g;39.99;un;1.0;34179;34106;FRANUI
2025-10-02;biscoito-recheado-mini-oreo-160g-1117459;Biscoito Recheado Mini Oreo 160g;24.9;un;1.0;34945;34872;OREO
2025-10-02;waffer-recheado-nutella-b-ready-1-unidade-22g-984400;Waffer Recheado Nutella B-Ready 1 Unidade 22g;6.99;un;1.0;11516;11538;NUTELLA
2025-10-02;sorvete-havanna-pistache-com-doce-de-leite-490ml-1156837;Sorvete Havanna Pistache com Doce de Leite 490ml;39.99;un;1.0;38899;38826;HAVANNA
2025-10-02;biscoito-amanteigado-italiano-pan-di-stelle-chocolate-350g-848590;Biscoito Amanteigado Italiano Pan Di Stelle Chocolate 350g;29.7;un;1.0;17602;17494;PAN DI STELLE
2025-10-02;biscoito-oreo-cobertura-chocolate-246g-1117513;Biscoito Oreo Cobertura Chocolate 246g;29.9;un;1.0;34946;34873;OREO
2025-10-02;biscoito-amanteigado-barilla-mulino-bianco-baiocchi-avela-com-recheio-de-chocolate-pacote--260g-848581;Biscoito Amanteigado Barilla Mulino Bianco Baiocchi Avelã com Recheio de Chocolate Pacote  260 g;34.65;un;1.0;16550;16441;MULINO BIANCO
2025-10-02;franui-pink-com-chocolate-branco-150g-1158961;Franuí Pink com Chocolate Branco 150g;39.99;un;1.0;38675;38602;FRANUI
2025-10-02;biscoito-amanteigado-barilla-mulino-bianco-tarallucci-pacote-350g-848565;Biscoito Amanteigado Barilla Mulino Bianco Tarallucci Pacote  350g;25.65;un;1.0;12366;12393;MULINO BIANCO
2025-10-02;biscoito-amanteigado-barilla-mulino-bianco-macine--400g-863068;Biscoito Amanteigado Barilla Mulino Bianco Macine  400g;26.75;un;1.0;13804;13825;MULINO BIANCO
2025-10-02;cookies-italianos-verona-com-chocolate-e-amaretti-marini-220g-5460948;Cookies Italianos Verona com Chocolate e Amaretti Marini 220g;19.9;un;1.0;39223;39150;MARINI
2025-10-02;biscoito-italiano-cantuccini-com-amendoas-marini-200g-5460875;Biscoito Italiano Cantuccini com Amêndoas Marini 200g;19.9;un;1.0;39224;39151;MARINI
2025-10-02;bombom-de-sorvete-pistache-bacio-di-latte-144g-1139223;Bombom de Sorvete Pistache Bacio Di Latte 144g;41.9;un;1.0;36502;36429;BACIO DI LATTE
2025-10-02;cookies-malaio-white-castle-com-gotas-de-chocolate-125g-5473446;Cookies Malaio White Castle com Gotas de Chocolate 125g;9.45;un;1.0;40433;40360;WHITE CASTLE
