data;cod;produto;preco;unidade;fator_unid;cod_id;cod_sku;marca;ean;ref_id
2026-09-01;arroz-parboilizado-tio-joao-1kg-370126;Arroz Parboilizado Tio Joao 1kg;5.99;un;1.0;14;14;TIO JOAO;7893500018469;370126
2026-09-01;arroz-branco-tio-joao-5-kg-105198;Arroz Branco Tio João 5kg;29.95;un;1.0;9279;9291;TIO JOAO;7893500020158;105198
2026-09-01;arroz-italiano-arborio-due-500g-5467993;Arroz Italiano Arbório Due 500g;9.9;un;1.0;39752;39679;DUE;7898274526523;5467993
2026-09-01;arroz-branco-tio-mingote-1kg-1044052;Arroz Branco Tio Mingote 1kg;4.49;un;1.0;23395;23321;Tio Mingote;7893500038924;1044052
2026-09-01;arroz-integral-granfino-1-859400;Arroz Integral Granfino 1kg;6.99;un;1.0;12;12;GRANFINO;7896016501210;859400
2026-09-01;arroz-parboilizado-tio-joao-tipo-1-5kg-1165160;Arroz Parboilizado Tio João Tipo 1 5kg;29.95;un;1.0;40005;39932;TIO JOAO;7893500018452;1165160
2026-09-01;arroz-branco-tio-joao-1kg-105180;Arroz Branco Tio João 1kg;7.99;un;1.0;9278;9290;TIO JOAO;7893500020110;105180
2026-09-01;arroz-parboilizado-tio-mingote-1kg-1043773;Arroz Parboilizado Tio Mingote 1kg;4.49;un;1.0;23365;23291;Tio Mingote;7893500020615;1043773
2026-09-01;arroz-integral-tio-joao-1kg-412970;Arroz Integral Tio João 1kg;12.99;un;1.0;10220;10237;TIO JOAO;7893500018483;412970
2026-09-01;arroz-branco-tio-joao-2kg-1130250;Arroz Branco Tio João 2kg;16.79;un;1.0;35970;35897;TIO JOAO;7893500020134;1130250
2026-09-01;arroz-branco-granfino-1kg-858641;Arroz Branco Granfino 1kg;5.49;un;1.0;12434;12461;GRANFINO;7896016501197;858641
2026-09-01;arroz-basmati-italiano-riso-scotti-500g-749796;Arroz Basmati Italiano Riso Scotti 500g;22.5;un;1.0;11;11;SCOTTI;8001860260315;749796
2026-09-01;arroz-integral-7-graos-com-quinoa-tio-joao-pacote-500g-1091514;Arroz Integral 7 Grãos com Quinoa Tio João Pacote 500g;19.99;un;1.0;32705;32630;TIO JOAO;7893500045434;1091514
2026-09-01;arroz-cateto-integral-arma-zen-zip-lock-500-g-923958;Arroz Cateto Integral Arma Zen Zip Lock 500g;19.98;un;1.0;11257;11276;ARMAZEN;7896891504092;923958
2026-09-01;arroz-cateto-vermelho-integral-arma-zen-500g-1044036;Arroz Cateto Vermelho Integral Arma Zen 500g;15.69;un;1.0;23387;23313;ARMA ZEN;7896891504436;1044036
2026-09-01;arroz-arborio-italiano-riso-scotti-caixa-500g-5262968;Arroz Arborio Italiano Riso Scotti Caixa 500g;16.65;un;1.0;13863;13884;SCOTTI;8001860201516;5262968
2026-09-01;arroz-agulhinha-polido-korin-organico-1kg-805920;Arroz Agulhinha Polido Korin Orgânico 1kg;24.99;un;1.0;11869;11895;KORIN;7898270911965;805920
2026-09-01;arroz-integral-urbano-1kg-1098845;Arroz Integral Urbano 1kg;7.59;un;1.0;33322;33247;URBANO;7896038308057;1098845
